sheet_name,location,day,event_type,series_character,character_variant,product_type,quantity
MEGA LDN SAT,London,Saturday,Mega,JJK,Fish,Bag,6
MEGA LDN SAT,London,Saturday,Mega,JJK,Fish,Keyring,4
MEGA LDN SAT,London,Saturday,Mega,JJK,Fish,Stud,1
MEGA LDN SAT,London,Saturday,Mega,JJK,Fish,Sticker Sheet,2
MEGA LDN SAT,London,Saturday,Mega,JJK,Young Gojo,Pin,1
MEGA LDN SAT,London,Saturday,Mega,JJK,Young Gojo,Drop,2
MEGA LDN SAT,London,Saturday,Mega,JJK,Blindfold,Stud,2
MEGA LDN SAT,London,Saturday,Mega,JJK,Yuji,Sticker Sheet,1
MEGA LDN SAT,London,Saturday,Mega,JJK,Megumi,Bag,2
MEGA LDN SAT,London,Saturday,Mega,JJK,Megumi,Keyring,3
MEGA LDN SAT,London,Saturday,Mega,JJK,Megumi,Pin,1
MEGA LDN SAT,London,Saturday,Mega,JJK,Dogs,Pin,1
MEGA LDN SAT,London,Saturday,Mega,JJK,Dogs,Drop,1
MEGA LDN SAT,London,Saturday,Mega,Spy Family,Anya,Bag,2
MEGA LDN SAT,London,Saturday,Mega,Spy Family,Yor,Bag,1
MEGA LDN SAT,London,Saturday,Mega,Spy Family,Yor,Keyring,3
MEGA LDN SAT,London,Saturday,Mega,Spy Family,Yor,Pin,1
MEGA LDN SAT,London,Saturday,Mega,Spy Family,Loid,Bag,3
MEGA LDN SAT,London,Saturday,Mega,Spy Family,Loid,Keyring,4
MEGA LDN SAT,London,Saturday,Mega,Spy Family,Loid,Stud,1
MEGA LDN SAT,London,Saturday,Mega,Spy Family,Damian,Keyring,2
MEGA LDN SAT,London,Saturday,Mega,Mashle,Mash,Bag,1
MEGA LDN SAT,London,Saturday,Mega,Mashle,Mash,Keyring,1
MEGA LDN SAT,London,Saturday,Mega,Mashle,Lance,Keyring,1
MEGA LDN SAT,London,Saturday,Mega,Mashle,Finn,Keyring,1
MEGA LDN SAT,London,Saturday,Mega,Mashle,Dot,Keyring,1
MEGA LDN SAT,London,Saturday,Mega,Dandadan,Momo,Keyring,1
MEGA LDN SAT,London,Saturday,Mega,Dandadan,Momo,Pin,1
MEGA LDN SAT,London,Saturday,Mega,Dandadan,Okarun,Keyring,1
MEGA LDN SAT,London,Saturday,Mega,Dandadan,Aira,Keyring,1
MEGA LDN SAT,London,Saturday,Mega,Dandadan,Aira,Pin,1
MEGA LDN SAT,London,Saturday,Mega,A Diaries,Ichigo,Keyring,1
MEGA LDN SAT,London,Saturday,Mega,A Diaries,Ichigo,Pin,1
MEGA LDN SAT,London,Saturday,Mega,Jojo,Unknown,Pin,1
MEGA LDN SAT,London,Saturday,Mega,Frieren,Frieren,Bag,3
MEGA LDN SAT,London,Saturday,Mega,Frieren,Frieren,Keyring,6
MEGA LDN SAT,London,Saturday,Mega,Frieren,Frieren,Manufactured,2
MEGA LDN SAT,London,Saturday,Mega,Frieren,Frieren,Pin,1
MEGA LDN SAT,London,Saturday,Mega,Frieren,Frieren,Glitter,2
MEGA LDN SAT,London,Saturday,Mega,Frieren,Frieren,Gloss,3
MEGA LDN SAT,London,Saturday,Mega,Frieren,Fern,Keyring,2
MEGA LDN SAT,London,Saturday,Mega,Frieren,Fern,Manufactured,2
MEGA LDN SAT,London,Saturday,Mega,Frieren,Fern,Pin,1
MEGA LDN SAT,London,Saturday,Mega,Frieren,Fern,Glitter,1
MEGA LDN SAT,London,Saturday,Mega,Frieren,Fern,Gloss,2
MEGA LDN SAT,London,Saturday,Mega,Frieren,Stark,Keyring,1
